,direction,direction_spherical,peaks,column_density,angle_respect_to_los
577,"[0.9085455625780586, 0.2685931970183991, 0.3200041487780345]","[1.2450624604583802, 0.287442684670094]","[22.3373715293674, 36.23964208502221, 22.449602228127944]",2.799388186833924e+19,0.010097505865883871
189,"[-0.7236263888331845, -0.6821097389793522, -0.10531454492977352]","[1.6763065264512393, -2.3857196510606373]","[5.0499879620436285, 8.774408530526296, 28.93790342729936]",6.235100603471154e+20,0.032262369393398216
2890,"[-0.8921208961936429, -0.45075926017134466, -0.030600587321712194]","[1.6014016918410892, -2.673740317814588]","[31.22192128085311, 1.5834868697368023, 34.58853818811054]",2.4664072504819565e+19,0.0536183062020172
564,"[-0.9837778487236741, 0.17838663678677627, 0.018956586626355906]","[1.551838604636462, 2.9622135263181013]","[10.947253094536801, 14.55234314116542, 14.479244549575245]",1.8192038571557298e+19,0.0634138878647255
2314,"[0.901646646012136, 0.43198759733211306, 0.020494913668852154]","[1.550299978069109, 0.4467960868685973]","[31.72813473399787, 19.71634866446719, 24.23009880385834]",8.307852099474076e+19,0.07198360437331483
2035,"[-0.9175555376951974, 0.397573497638571, 0.005210491369384171]","[1.565585811848428, 2.7327159320588845]","[28.47278803923111, 22.352102155227286, 18.142757809111394]",4.863916804153822e+18,0.09166260614764593
2036,"[0.5567301571702437, -0.7658134792740894, -0.32184040619429705]","[1.898469003261591, -0.9421923175776483]","[29.187055875152005, 25.179145422618546, 14.218590532991954]",3.3401667658015547e+19,0.10316774209071994
746,"[0.3481947449265126, 0.7095428437695622, 0.6126249851752407]","[0.9114187987987039, 1.1145912893356809]","[22.797846103523597, 16.65039954960038, 24.037580189246775]",1.3352811191860498e+19,0.12732477911680523
84,"[-0.9671797964900076, 0.24372657280012622, -0.07183730905770265]","[1.6426955670387988, 2.8947351849850067]","[30.656545598272633, 21.21578450216579, 6.025591019572545]",6.301660146320972e+18,0.13975803239180445
835,"[-0.6924050204159203, 0.5821089299878255, 0.42629154499152216]","[1.130407145757137, 2.442519148046309]","[20.854752056127353, 27.72958877172261, 30.897555975415564]",5.991894282337379e+17,0.1597301134967794
1095,"[-0.5419846435423267, -0.10088510554316382, 0.8343109981558687]","[0.5839145160663305, -2.9575586880964573]","[1.8342269518058067, 39.15272722978204, 13.478087320186342]",6.883956266087211e+18,0.18131973759828945
1982,"[0.5335658423797716, -0.651575135820888, -0.5392191894077543]","[2.140306014407242, -0.8846450708182457]","[14.760702942262142, 3.808816507535127, 18.662357558304198]",2.3099880323867595e+19,0.20152148877151987
1765,"[0.6248227457478515, 0.7332444083156439, -0.268233432051186]","[1.8423551205221484, 0.8650644679339734]","[13.788557459792727, 30.969015315381554, 0.5481412500749983]",1.1691251999390296e+19,0.2178037271549817
489,"[-0.8459454953899999, 0.13590235478618073, 0.5156614866294926]","[1.0290168066967607, 2.9823022849357805]","[25.97218968787728, 16.306129411296467, 32.59209985089156]",2.148412106640933e+18,0.24098264851214188
1348,"[0.7355142500614662, 0.5640560919270405, -0.3753125539020952]","[1.9555302823685654, 0.654221285603146]","[15.126803300940015, 8.742777201521974, 35.385897242901905]",4.718737793607076e+18,0.2602270982954301
2378,"[-0.6008494681658817, -0.011816214720297024, 0.7992748548994022]","[0.6447087120508225, -3.121929339548693]","[36.77216758562908, 31.138140149846574, 31.479378450940086]",2.381288321597436e+16,0.2823675444121238
1733,"[0.6034491621720239, -0.7542085180602452, 0.2588795472014954]","[1.3089343020881394, -0.8959888123287002]","[1.4109359512462305, 8.015186069304537, 6.201421112442535]",7.516030247708193e+18,0.3011576079680326
2006,"[-0.4673503019542367, 0.3128890508771086, 0.8268519438838526]","[0.5973092378359712, 2.551633995735337]","[15.375994480100793, 33.46747002974436, 35.36973842316068]",7.347195974954166e+16,0.3237486496945482
752,"[-0.3523696735313278, 0.9208653499859397, -0.16686108105456685]","[1.7384415814782053, 1.9362574391889453]","[34.54351532815453, 11.310999381349786, 12.859367916047436]",2.933061707347873e+17,0.34030358839247843
2744,"[0.4712286553404153, 0.6752245686655978, 0.5674639515039003]","[0.9673737303048694, 0.961491677312516]","[21.131487201477817, 6.303962373070817, 33.74206174510233]",4.064711224025126e+16,0.36341000453498856
992,"[0.4340550710507417, 0.6592548091858702, 0.6139863938724034]","[0.909695159259843, 0.9885368525105176]","[8.066738389630151, 36.13239811503724, 10.37430745740167]",2.6832412184649312e+17,0.38229905051487023
1117,"[0.7783092655837792, -0.4955612450872934, -0.3855564024549069]","[1.9666070992665956, -0.5669793217726593]","[17.82334588873379, 13.464220578814718, 7.973888465078701]",2.3043732728332475e+20,0.4043684230780853
89,"[0.15538547403107092, -0.1895501682048221, 0.9694978536302508]","[0.24762263075866872, -0.8841227425182128]","[12.027963477484896, 34.333267941534224, 31.026581394332588]",1.6491774315209683e+17,0.420183584487303
418,"[-0.945428878261402, -0.2512229525736095, -0.2074879857957693]","[1.7798026861163436, -2.8818707395748895]","[20.770283176363147, 39.112011833051724, 22.479967732352968]",5.235589372616213e+16,0.44164431685373823
2270,"[-0.978208256901976, 0.19514620225606766, -0.0708982783559053]","[1.6417541357158731, 2.9446841472416168]","[20.954911713300433, 14.867807643054448, 8.18792038084603]",3.809342562465802e+16,0.46098540997519966
1513,"[0.606858512554226, 0.6953030536294572, 0.3850667596067257]","[1.1755161676767831, 0.8532153308951788]","[24.56799118733662, 5.782867293474084, 28.79508276428675]",1.854382373452042e+16,0.4809830156056773
2091,"[-0.568929832107916, -0.8011742514310245, -0.18557657444192122]","[1.7574549233452028, -2.1882819732893504]","[22.866829712227627, 0.4689165524399215, 1.438727562243912]",4.25324961559925e+20,0.5002203701918313
375,"[0.2460179573085389, 0.07057664603670223, 0.9666923511210503]","[0.25882120806801223, 0.27937336126779566]","[29.6213607312734, 13.243702023713531, 2.2290739573953147]",4.668268983494101e+17,0.5207132205006971
1031,"[-0.8256656646751354, 0.5086573148839867, -0.2440162826361809]","[1.8173015087169089, 2.5894499443598846]","[16.22073640736563, 9.828679017225213, 33.35814389885418]",8.859038608971539e+17,0.5406375599414041
1755,"[-0.42335803534851774, -0.5444290722976823, 0.72413048488717]","[0.7610235510771329, -2.231740150434388]","[20.43137325631323, 18.231992707777977, 8.053075759372108]",3.523856111156525e+17,0.5609106199205074
665,"[0.20495274852542122, 0.6507566329667773, -0.7311020281203015]","[2.3907321245987565, 1.2656852575624333]","[17.366909279060355, 33.92589834394096, 8.308873625416751]",2.9406071700967465e+19,0.5819081902875007
1579,"[0.8406103085439744, -0.375205351743565, 0.39063442397283815]","[1.1694756524490582, -0.41981338981888444]","[39.383413843567226, 20.92488527230031, 38.978621107807854]",5.453991963626182e+19,0.6008665319935507
2208,"[0.2848426966740206, -0.6445300102860557, 0.7095390785517945]","[0.7819524321311254, -1.1546664431464038]","[26.936021027486206, 19.25055902507404, 39.95578279832048]",1.5250092821282678e+17,0.6200821881515526
1599,"[0.09529905116959876, -0.7220229118058201, 0.6852744017352603]","[0.8158159167278466, -1.439565920032515]","[37.421608836826195, 11.475267448419304, 30.097914173427533]",8.316770455865363e+16,0.6402938825157992
2664,"[0.7656956994611893, -0.5282937379055166, -0.36690028933820473]","[1.9464710592316128, -0.6039508652353915]","[35.4637721627212, 3.117658846937019, 9.128447722774794]",9.681358227677958e+16,0.6602350495128556
2555,"[0.10394432566374644, 0.047230503700850926, 0.9934610494037867]","[0.11442105891111037, 0.4264926020801173]","[11.542449625370509, 3.9242163981140976, 15.516484306618139]",2.3766654598142406e+17,0.6800353649311227
1391,"[-0.536758713394165, 0.11679477361930142, 0.8356129872438894]","[0.5815485820791362, 2.9273396779184995]","[32.100259369894864, 20.235990718643, 28.610710727667353]",2.6137193596428386e+19,0.7212333889756503
2106,"[-0.4173867118887867, -0.30330150559347546, 0.856619244147245]","[0.5421152365421507, -2.513192101808404]","[13.099905336351853, 28.608905907952234, 3.9949204165794825]",4.2349123786215544e+16,0.7406759523969231
791,"[0.9786143080177915, -0.1264475429364511, 0.16224997697440097]","[1.4078259089548284, -0.12849884705177955]","[2.3594237685063533, 13.87801009588182, 35.57934434424486]",7.015537276706337e+19,0.7602535717037817
2193,"[-0.4704564094237616, -0.1613415279578861, -0.8675480840785232]","[2.621047317700883, -2.811215059677445]","[0.987381712237239, 22.270298068718013, 38.886192865379755]",1.1595828275950534e+17,0.7803560625337358
1313,"[0.8277627651215843, 0.5203795329938158, -0.20979501023476899]","[1.782161626268004, 0.5612253326056675]","[18.935128913002448, 35.76721861002389, 36.369958914290635]",4.6206527784393544e+16,0.8006644885031164
342,"[0.009126480444866875, 0.3539303225559213, 0.9352272633591001]","[0.3618959056195282, 1.5450159461129578]","[2.6949890556651166, 10.116815899684973, 35.57399526983679]",2.678101174981405e+18,0.8205408499962563
2503,"[-0.9253043357954732, 0.3465423055810232, 0.15401401429963077]","[1.4161668431215335, 2.783245406256966]","[7.313965250431841, 21.561952587561375, 34.59106147386268]",5.325751573586675e+18,0.8402242191986897
37,"[0.7072686491481112, -0.026648508673364525, 0.706442435671649]","[0.7863372490318646, -0.03766024274054877]","[12.13558168477524, 20.949934082200663, 34.18707275411625]",1.9965271390808224e+16,0.8600627105864188
2339,"[0.4329109636381298, -0.7061987601591473, 0.5602422767978066]","[0.976118067032158, -1.0208613500711015]","[39.09616460490351, 30.640847556208566, 8.985013801014603]",5.306640654452062e+16,0.8816905601766446
2048,"[-0.6461092769514936, -0.760015238945463, 0.07014013692522195]","[1.500598551486331, -2.275363965166303]","[6.9373740319759545, 37.5671511759291, 25.868469615874584]",5.5687401655849024e+17,0.9008652243545123
155,"[-0.3595226059873065, -0.9101210078526283, 0.20596904342500552]","[1.3633424461256214, -1.947008520119581]","[11.326426157099856, 3.394820691820165, 21.74656434358755]",3.0324067074550047e+19,0.9202544304271922
149,"[0.2016546799024887, 0.8205717106347165, 0.5347873014380952]","[1.0065403179502448, 1.3298225863498794]","[8.12113539817242, 6.098676761405315, 31.039301690846976]",3.4655532164692652e+16,0.9603662808478377
1615,"[-0.31024855680576546, -0.9455369699957288, 0.09851736583585857]","[1.4721188980227482, -1.8878465789355667]","[17.344902830123544, 11.286765758282534, 7.303322169968739]",1.9332146741983584e+17,0.9802586367112919
2220,"[0.8311255375455383, -0.5350252183213922, 0.1515861359088847]","[1.4186235712277149, -0.5719589148170179]","[30.373678596683963, 33.04916803768943, 0.6750083867748415]",2.3637535928298737e+18,0.9992625288526263
2117,"[0.7195268166899045, -0.6291265919677649, -0.2940763359114741]","[1.8692853053360772, -0.7184682924846906]","[5.557600287097088, 8.072117068128836, 33.9056438267805]",7.259216637275175e+18,0.9998998039587741